bucket_start,price_open,price_high,price_low,price_close,price_vwap,price_unit,price_source,price_trade_count,price_staleness_seconds,tvl_token_close,tvl_usd_close,tvl_snapshot_block,volume_token,volume_usd,swap_count,active_trader_count,liquidity_added_token,liquidity_removed_token,net_lp_flow_token,gross_lp_activity_token,recycling_share,lp_add_event_count,lp_remove_event_count,active_lp_count,lp_identity_coverage,withdrawal_amount_coverage,actual_transfer_in_token,actual_transfer_out_token,actual_transfer_net_token,pool_transfer_event_count,price_return,tvl_change,net_lp_flow_ratio,gross_lp_activity_ratio,actual_transfer_net_ratio,withdrawal_ratio,volume_turnover,close_vwap_gap,measured_pool_count,verified_pool_count,data_coverage,is_imputed
2022-10-09T19:00:00+00:00,0.018237972106086277,0.018237972106086277,0.018198292157739684,0.018198292157739684,0.01821813213191298,WETH,pool_swap_ratio,2,1573,5031.919198452365,,15712654,40.0,,2,1,0.0,0.0,0.0,0.0,,0,0,,,,40.0,0.0,40.0,2,,,,,,,,-0.0010890235085374567,2,3,price=observed;tvl=observed;lp_amount=none,False
2022-10-09T20:00:00+00:00,,,,0.018198292157739684,,WETH,pool_swap_ratio,0,5173,5031.919198452365,,15712654,0.0,,0,0,0.0,0.0,0.0,0.0,,0,0,,,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2,3,price=carried;tvl=carried;lp_amount=none,True
2022-10-09T21:00:00+00:00,,,,0.018198292157739684,,WETH,pool_swap_ratio,0,8773,5031.919198452365,,15712654,0.0,,0,0,0.0,0.0,0.0,0.0,,0,0,,,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2,3,price=carried;tvl=carried;lp_amount=none,True
2022-10-09T22:00:00+00:00,,,,0.018198292157739684,,WETH,pool_swap_ratio,0,12373,5031.919198452365,,15712654,0.0,,0,0,0.0,0.0,0.0,0.0,,0,0,,,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2,3,price=carried;tvl=carried;lp_amount=none,True
2022-10-09T23:00:00+00:00,,,,0.018198292157739684,,WETH,pool_swap_ratio,0,15973,5031.919198452365,,15712654,0.0,,0,0,0.0,0.0,0.0,0.0,,0,0,,,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2,3,price=carried;tvl=carried;lp_amount=none,True
2022-10-10T00:00:00+00:00,0.018200681213225885,0.01826984866352743,0.018200681213225885,0.01826984866352743,0.01826274576737174,WETH,pool_swap_ratio,3,829,5019.959262639907,,15714207,11.959935812457898,,3,1,0.0,0.0,0.0,0.0,,0,0,,,,0.0,11.959935812457898,-11.959935812457898,3,0.0039243348308695665,-0.0023796430692125336,0.0,0.0,-0.0023768139631765825,0.0,0.0023768139631765825,0.00038892816261948404,2,3,price=observed;tvl=observed;lp_amount=none,False
2022-10-10T01:00:00+00:00,,,,0.01826984866352743,,WETH,pool_swap_ratio,0,4429,5019.959262639907,,15714207,0.0,,0,0,0.0,0.0,0.0,0.0,,0,0,,,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2,3,price=carried;tvl=carried;lp_amount=none,True
2022-10-10T02:00:00+00:00,,,,0.01826984866352743,,WETH,pool_swap_ratio,0,8029,5019.959262639907,,15714207,0.0,,0,0,0.0,0.0,0.0,0.0,,0,0,,,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2,3,price=carried;tvl=carried;lp_amount=none,True
2022-10-10T03:00:00+00:00,,,,0.01826984866352743,,WETH,pool_swap_ratio,0,11629,5019.959262639907,,15714207,0.0,,0,0,0.0,0.0,0.0,0.0,,0,0,,,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2,3,price=carried;tvl=carried;lp_amount=none,True
2022-10-10T04:00:00+00:00,,,,0.01826984866352743,,WETH,pool_swap_ratio,0,15229,5019.959262639907,,15714207,0.0,,0,0,0.0,0.0,0.0,0.0,,0,0,,,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2,3,price=carried;tvl=carried;lp_amount=none,True
